text,department,section,priority,time_bucket
traction substation check on New Delhi-Ghaziabad stretch early morning this weekend,trd,NDLS-MTJ,medium,early_morning
"Can you schedule a 3h traction substation check on the Pandit Deen Dayal Upadhyaya Jn section tomorrow late at night, urgent",trd,ALD-MGS,critical,night
"schedule a quick feeder cable maintenance in 3 days during the afternoon on the Bhopal-Itarsi stretch, low priority",trd,BPL-ET,low,afternoon
"need overhead line repair on near Agra today in the morning, important",trd,AGC-CNB,high,morning
"optical fiber repair on AGC-CNB in the midnight window , non-urgent a 3h today",st,AGC-CNB,low,night
"schedule a 2h auto tensioning device check in 3 days late at night on the Agra-Kanpur stretch, high priority",trd,AGC-CNB,high,night
track geometry check on Kanpur Central section during the morning a 4h tomorrow,engg,AGC-CNB,medium,morning
"OHE wire tensioning on the Delhi-Mathura corridor before dawn , important a 2h next tuesday",trd,NDLS-MTJ,high,early_morning
"schedule a 2h feeder cable maintenance next tuesday overnight on near Bhopal, critical",trd,BPL-ET,critical,night
"Please schedule a 2h traction transformer check tonight on Agra to Kanpur, whenever convenient",trd,AGC-CNB,low,unspecified
Non-urgent insulator cleaning required near near Prayagraj tomorrow during the afternoon,trd,ALD-MGS,low,afternoon
Important broken rail repair required near NDLS-MTJ next friday,engg,NDLS-MTJ,high,unspecified
"circuit breaker testing on near Prayagraj , top priority a 3h next saturday",trd,ALD-MGS,critical,unspecified
"Please plan interlocking check on Kanpur Central section overnight next thursday, priority",st,AGC-CNB,high,night
"Can you schedule a quick track circuit fault on near Bhopal next thursday in the morning, important",engg,BPL-ET,high,morning
"Can you schedule a 1h traction motor check on CNB-ALD in the morning, an emergency",trd,CNB-ALD,critical,morning
"Kindly plan track patrolling on CNB-ALD next thursday, important",engg,CNB-ALD,high,unspecified
"We need to a 3h overhead line repair on the Mathura-Agra stretch next wednesday during the afternoon, as soon as possible",trd,MTJ-AGC,high,afternoon
"a 1h track tamping on near New Delhi next friday in the evening, asap",engg,NDLS-MTJ,critical,evening
"OHE wire tensioning on New Delhi to Mathura in the morning , urgent a 1h next thursday",trd,NDLS-MTJ,critical,morning
"axle counter testing on Allahabad to Mughalsarai during the afternoon , low priority tomorrow",st,ALD-MGS,low,afternoon
"Requesting to need telecom cable repair on Prayagraj section, routine",st,CNB-ALD,low,unspecified
"Please a 2 hour track tamping on Mathura to Agra day after tomorrow in the afternoon, low priority",engg,MTJ-AGC,low,afternoon
"Please schedule a quick signal failure attention today in the evening on ALD-MGS, top priority",st,ALD-MGS,critical,evening
Routine relay room maintenance required near Kanpur to Allahabad before dawn,st,CNB-ALD,low,early_morning
"signal cable inspection on the Bhopal-Itarsi stretch before dawn , low priority tomorrow",st,BPL-ET,low,early_morning
"Can you schedule schedule a quick OHE inspection next thursday during the evening on near Bhopal, urgent",trd,BPL-ET,critical,evening
"Can you schedule schedule sleeper replacement next tuesday late at night on New Delhi to Mathura, asap",engg,NDLS-MTJ,critical,night
"power supply inspection on the Delhi-Mathura corridor , immediately a 1h day after tomorrow",trd,NDLS-MTJ,critical,unspecified
As soon as possible axle counter testing required near Kanpur Central section in 3 days during the afternoon,st,AGC-CNB,high,afternoon
"Kindly need power supply inspection on NDLS-MTJ today before dawn, as soon as possible",trd,NDLS-MTJ,high,early_morning
"Please need rail welding repair on near Prayagraj next saturday during the evening, top priority",engg,ALD-MGS,critical,evening
"formation strengthening on New Delhi-Ghaziabad stretch in the morning , as soon as possible a 2h this weekend",engg,NDLS-MTJ,high,morning
"Kindly a 2 hour auto tensioning device check on the Agra-Kanpur stretch next saturday at night, minor",trd,AGC-CNB,low,night
"bridge inspection on near Mathura next thursday during the evening, priority",engg,MTJ-AGC,high,evening
Kindly a 2h catenary wire repair on ALD-MGS in the afternoon,trd,ALD-MGS,medium,afternoon
"Please schedule a 4h axle counter testing next friday during the evening on Bhopal to Itarsi, an emergency",st,BPL-ET,critical,evening
"broken rail repair on Agra Cantt section , critical a 2 hour in 3 days",engg,MTJ-AGC,critical,unspecified
"We need to need rail grinding on MTJ-AGC tomorrow in the afternoon, routine",engg,MTJ-AGC,low,afternoon
"need block section telephone repair on Mathura to Agra next monday before dawn, top priority",st,MTJ-AGC,critical,early_morning
Kindly a 3h signal circuit testing on the Pandit Deen Dayal Upadhyaya Jn section tonight overnight,st,ALD-MGS,medium,night
Please need deep screening on near Kanpur next tuesday in the evening,engg,CNB-ALD,medium,evening
"Can you schedule need track patrolling on CNB-ALD next saturday in the afternoon, as soon as possible",engg,CNB-ALD,high,afternoon
Requesting to need auto tensioning device check on New Delhi-Ghaziabad stretch next monday,trd,NDLS-MTJ,medium,unspecified
"need catenary wire repair on Agra Cantt section next tuesday during the evening, low priority",trd,MTJ-AGC,low,evening
axle counter testing required near the Kanpur-Prayagraj stretch next saturday during the afternoon,st,CNB-ALD,medium,afternoon
Please schedule a 2h catenary wire repair next saturday late at night on BPL-ET,trd,BPL-ET,medium,night
"Can you schedule schedule a 4h track inspection next tuesday in the midnight window on New Delhi to Mathura, non-urgent",engg,NDLS-MTJ,low,night
Low priority traction transformer check required near Prayagraj section this weekend in the pre-dawn hours,trd,CNB-ALD,low,early_morning
"We need to schedule ballast renewal in a week in the evening on the Bhopal-Itarsi stretch, routine",engg,BPL-ET,low,evening
We need to schedule a 3h signal circuit testing in a week during the evening on the Prayagraj-Mughalsarai stretch,st,ALD-MGS,medium,evening
auto tensioning device check required near Prayagraj section in 3 days,trd,CNB-ALD,medium,unspecified
"Kindly plan feeder cable maintenance on Kanpur Central section in the morning day after tomorrow, top priority",trd,AGC-CNB,critical,morning
"We need to need ballast renewal on Mathura to Agra today, low priority",engg,MTJ-AGC,low,unspecified
Priority circuit breaker testing required near CNB-ALD in a week in the afternoon,trd,CNB-ALD,high,afternoon
Whenever convenient signal maintenance required near near Agra next wednesday in the evening,st,AGC-CNB,low,evening
Low priority signal maintenance required near near Kanpur next friday in the afternoon,st,CNB-ALD,low,afternoon
"Please a 2 hour power supply inspection on BPL-ET in a week in the afternoon, top priority",trd,BPL-ET,critical,afternoon
"We need to need signal cable inspection on Agra to Kanpur day after tomorrow during the morning, minor",st,AGC-CNB,low,morning
"Requesting to a quick rail welding repair on New Delhi-Ghaziabad stretch today in the pre-dawn hours, an emergency",engg,NDLS-MTJ,critical,early_morning
"Can you schedule schedule track tamping next saturday before dawn on MTJ-AGC, important",engg,MTJ-AGC,high,early_morning
"need route relay interlocking check on near Agra today before dawn, high priority",st,AGC-CNB,high,early_morning
"OHE wire tensioning on Prayagraj section in the evening , high priority a 4h today",trd,CNB-ALD,high,evening
"plan OHE snag rectification on the Delhi-Mathura corridor during the evening next saturday, an emergency",trd,NDLS-MTJ,critical,evening
"traction motor check on Ghaziabad section during the afternoon , routine a quick next saturday",trd,NDLS-MTJ,low,afternoon
Can you schedule need track geometry check on the Mathura-Agra stretch in a week during the afternoon,engg,MTJ-AGC,medium,afternoon
block section telephone repair required near MTJ-AGC next friday before dawn,st,MTJ-AGC,medium,early_morning
"Kindly need signal maintenance on near Kanpur in 3 days before dawn, priority",st,CNB-ALD,high,early_morning
Asap traction transformer check required near the Agra-Kanpur stretch tomorrow early morning,trd,AGC-CNB,critical,early_morning
"OHE snag rectification on Agra Cantt section at night , whenever convenient a 1h day after tomorrow",trd,MTJ-AGC,low,night
Can you schedule need rail grinding on the Bhopal-Itarsi stretch next tuesday during the evening,engg,BPL-ET,medium,evening
Kindly a 1h route relay interlocking check on near Kanpur this weekend early morning,st,CNB-ALD,medium,early_morning
"Can you schedule plan insulator cleaning on Bhopal to Itarsi day after tomorrow, important",trd,BPL-ET,high,unspecified
Requesting to plan pantograph inspection on New Delhi to Mathura in the morning day after tomorrow,trd,NDLS-MTJ,medium,morning
plan rail grinding on NDLS-MTJ today,engg,NDLS-MTJ,medium,unspecified
a 2 hour relay room maintenance on Prayagraj section in a week overnight,st,CNB-ALD,medium,night
"Please relay room maintenance on the Delhi-Mathura corridor day after tomorrow in the pre-dawn hours, critical",st,NDLS-MTJ,critical,early_morning
Priority OHE snag rectification required near the Kanpur-Prayagraj stretch day after tomorrow during the afternoon,trd,CNB-ALD,high,afternoon
"schedule a 4h optical fiber repair day after tomorrow on ALD-MGS, critical",st,ALD-MGS,critical,unspecified
"We need to need ballast renewal on ALD-MGS this weekend during the afternoon, high priority",engg,ALD-MGS,high,afternoon
"Requesting to plan track tamping on near Agra day after tomorrow, routine",engg,AGC-CNB,low,unspecified
"Please a 2h OHE snag rectification on Agra Cantt section tonight in the pre-dawn hours, asap",trd,MTJ-AGC,critical,early_morning
ballast renewal required near the Agra-Kanpur stretch this weekend in the midnight window,engg,AGC-CNB,medium,night
"Kindly plan level crossing signal check on the Pandit Deen Dayal Upadhyaya Jn section in the evening next tuesday, routine",st,ALD-MGS,low,evening
Top priority signal maintenance required near New Delhi to Mathura in 3 days in the morning,st,NDLS-MTJ,critical,morning
Priority OHE wire tensioning required near near Kanpur today,trd,CNB-ALD,high,unspecified
"We need to plan telecom cable repair on BPL-ET during the afternoon day after tomorrow, as soon as possible",st,BPL-ET,high,afternoon
rail welding repair on near New Delhi in the midnight window a 3h in a week,engg,NDLS-MTJ,medium,night
"schedule a 2 hour circuit breaker testing next saturday during the evening on CNB-ALD, as soon as possible",trd,CNB-ALD,high,evening
"level crossing signal check on near Mathura at night , whenever convenient a 3h next saturday",st,MTJ-AGC,low,night
"Requesting to schedule rail grinding next wednesday early morning on ALD-MGS, routine",engg,ALD-MGS,low,early_morning
Can you schedule schedule a 2 hour route relay interlocking check tomorrow during the afternoon on the Agra-Kanpur stretch,st,AGC-CNB,medium,afternoon
"Can you schedule need axle counter testing on the Prayagraj-Mughalsarai stretch next monday during the morning, high priority",st,ALD-MGS,high,morning
"Can you schedule plan rail grinding on near Bhopal during the afternoon next monday, low priority",engg,BPL-ET,low,afternoon
Priority relay room maintenance required near Agra to Kanpur before dawn,st,AGC-CNB,high,early_morning
"Kindly a 3h OHE snag rectification on Prayagraj section next thursday late at night, priority",trd,CNB-ALD,high,night
"Please a 4h interlocking check on the Pandit Deen Dayal Upadhyaya Jn section in a week before dawn, top priority",st,ALD-MGS,critical,early_morning
Routine signal failure attention required near near Agra next monday during the morning,st,AGC-CNB,low,morning
"OHE inspection on ALD-MGS in the pre-dawn hours , as soon as possible a 2 hour today",trd,ALD-MGS,high,early_morning
"need auto tensioning device check on Ghaziabad section next monday at night, as soon as possible",trd,NDLS-MTJ,high,night
"plan telecom cable repair on Kanpur to Allahabad in the evening tonight, priority",st,CNB-ALD,high,evening
Non-urgent optical fiber repair required near Bhopal to Itarsi next wednesday early morning,st,BPL-ET,low,early_morning
signal circuit testing on Ghaziabad section in the midnight window a 3h next monday,st,NDLS-MTJ,medium,night
We need to plan route relay interlocking check on Kanpur Central section during the afternoon today,st,AGC-CNB,medium,afternoon
"optical fiber repair on near Agra during the afternoon , top priority a 3h",st,AGC-CNB,critical,afternoon
Please plan formation strengthening on the Pandit Deen Dayal Upadhyaya Jn section during the evening tomorrow,engg,ALD-MGS,medium,evening
"We need to a quick signal circuit testing on Bhopal to Itarsi day after tomorrow, top priority",st,BPL-ET,critical,unspecified
"Please plan traction motor check on Bhopal to Itarsi during the morning tonight, an emergency",trd,BPL-ET,critical,morning
"Kindly a quick level crossing signal check on near Prayagraj this weekend during the afternoon, as soon as possible",st,ALD-MGS,high,afternoon
"need interlocking check on Mathura to Agra in 3 days in the morning, non-urgent",st,MTJ-AGC,low,morning
traction substation check required near near Kanpur today,trd,CNB-ALD,medium,unspecified
High priority deep screening required near near Prayagraj this weekend,engg,ALD-MGS,high,unspecified
ballast renewal required near NDLS-MTJ tomorrow at night,engg,NDLS-MTJ,medium,night
Non-urgent telecom cable repair required near the Bhopal-Itarsi stretch next tuesday,st,BPL-ET,low,unspecified
Kindly a quick overhead line repair on AGC-CNB tomorrow during the afternoon,trd,AGC-CNB,medium,afternoon
"We need to a quick traction motor check on near Prayagraj today in the morning, immediately",trd,ALD-MGS,critical,morning
"Can you schedule schedule a quick feeder cable maintenance tonight in the morning on the Bhopal-Itarsi stretch, urgent",trd,BPL-ET,critical,morning
"need track circuit fault on Allahabad to Mughalsarai in 3 days in the morning, important",engg,ALD-MGS,high,morning
"Kindly schedule ballast renewal tonight on near Prayagraj, high priority",engg,ALD-MGS,high,unspecified
traction motor check on New Delhi to Mathura in the pre-dawn hours a 3h next tuesday,trd,NDLS-MTJ,medium,early_morning
"rail welding repair on near Kanpur in the evening , immediately next friday",engg,CNB-ALD,critical,evening
"pantograph inspection on CNB-ALD during the afternoon , immediately next saturday",trd,CNB-ALD,critical,afternoon
"Can you schedule plan interlocking check on near New Delhi before dawn next friday, high priority",st,NDLS-MTJ,high,early_morning
Requesting to a quick traction motor check on the Kanpur-Prayagraj stretch today during the evening,trd,CNB-ALD,medium,evening
Whenever convenient OHE wire tensioning required near Allahabad to Mughalsarai next monday before dawn,trd,ALD-MGS,low,early_morning
Minor route relay interlocking check required near near New Delhi next monday,st,NDLS-MTJ,low,unspecified
"Can you schedule a 1h rail fracture repair on NDLS-MTJ in 3 days, routine",engg,NDLS-MTJ,low,unspecified
"need insulator cleaning on near Prayagraj in a week during the morning, immediately",trd,ALD-MGS,critical,morning
"need pantograph inspection on AGC-CNB tomorrow, important",trd,AGC-CNB,high,unspecified
"Requesting to need traction motor check on near New Delhi next friday in the evening, priority",trd,NDLS-MTJ,high,evening
ballast renewal on near Agra late at night a 1h in a week,engg,AGC-CNB,medium,night
"We need to need interlocking check on MTJ-AGC next tuesday in the evening, top priority",st,MTJ-AGC,critical,evening
"bridge inspection on near Agra early morning , urgent a 3h in 3 days",engg,AGC-CNB,critical,early_morning
"Can you schedule a 1h rail grinding on Prayagraj section day after tomorrow during the afternoon, non-urgent",engg,CNB-ALD,low,afternoon
"We need to plan signal cable inspection on near New Delhi, non-urgent",st,NDLS-MTJ,low,unspecified
Important track inspection required near near Mathura next monday during the morning,engg,MTJ-AGC,high,morning
"Requesting to need overhead line repair on Mathura to Agra next thursday, non-urgent",trd,MTJ-AGC,low,unspecified
Routine track geometry check required near BPL-ET in a week in the afternoon,engg,BPL-ET,low,afternoon
overhead line repair required near Itarsi section next monday in the afternoon,trd,BPL-ET,medium,afternoon
"We need to need traction motor check on Ghaziabad section next thursday during the afternoon, critical",trd,NDLS-MTJ,critical,afternoon
"Please need traction motor check on near Mathura next thursday in the evening, high priority",trd,MTJ-AGC,high,evening
"Can you schedule schedule a 1h route relay interlocking check tomorrow before dawn on Bhopal to Itarsi, high priority",st,BPL-ET,high,early_morning
"traction substation check on Agra Cantt section during the evening , non-urgent a 3h next saturday",trd,MTJ-AGC,low,evening
"Kindly need traction motor check on near Bhopal next wednesday in the midnight window, priority",trd,BPL-ET,high,night
"Kindly need OHE inspection on the Agra-Kanpur stretch during the afternoon, an emergency",trd,AGC-CNB,critical,afternoon
"rail joint repair on the Delhi-Mathura corridor in the evening , whenever convenient a quick next wednesday",engg,NDLS-MTJ,low,evening
"bridge inspection on the Pandit Deen Dayal Upadhyaya Jn section in the afternoon , high priority a quick in 3 days",engg,ALD-MGS,high,afternoon
"Can you schedule plan sleeper replacement on Bhopal to Itarsi next wednesday, critical",engg,BPL-ET,critical,unspecified
"Requesting to need bridge inspection on near Agra in 3 days in the morning, whenever convenient",engg,AGC-CNB,low,morning
"bridge inspection on the Delhi-Mathura corridor in the morning , minor next monday",engg,NDLS-MTJ,low,morning
"formation strengthening on near Agra in the evening , low priority a 3h day after tomorrow",engg,AGC-CNB,low,evening
"need block section telephone repair on the Mathura-Agra stretch next thursday, top priority",st,MTJ-AGC,critical,unspecified
"Kindly point machine repair on near Mathura tonight early morning, low priority",st,MTJ-AGC,low,early_morning
"Please schedule a 2 hour OHE snag rectification next friday in the morning on the Prayagraj-Mughalsarai stretch, top priority",trd,ALD-MGS,critical,morning
"Requesting to schedule a 4h track circuit fault next monday in the midnight window on the Bhopal-Itarsi stretch, priority",engg,BPL-ET,high,night
"optical fiber repair on Kanpur Central section during the morning , important a 1h in a week",st,AGC-CNB,high,morning
"Please plan circuit breaker testing on near Kanpur during the evening tonight, non-urgent",trd,CNB-ALD,low,evening
"Can you schedule a quick track circuit fault on AGC-CNB this weekend in the evening, minor",engg,AGC-CNB,low,evening
"We need to need interlocking check on near Mathura today before dawn, non-urgent",st,MTJ-AGC,low,early_morning
need track geometry check on Ghaziabad section next monday in the afternoon,engg,NDLS-MTJ,medium,afternoon
"Requesting to schedule a 2 hour track circuit fault in a week overnight on near Bhopal, important",engg,BPL-ET,high,night
"Please plan circuit breaker testing on the Kanpur-Prayagraj stretch overnight tomorrow, urgent",trd,CNB-ALD,critical,night
An emergency power supply inspection required near the Pandit Deen Dayal Upadhyaya Jn section today before dawn,trd,ALD-MGS,critical,early_morning
"Can you schedule schedule a 3h OHE snag rectification next saturday in the afternoon on the Pandit Deen Dayal Upadhyaya Jn section, urgent",trd,ALD-MGS,critical,afternoon
"catenary wire repair on Kanpur Central section in the morning , asap a 2 hour next friday",trd,AGC-CNB,critical,morning
"We need to a quick traction substation check on near Prayagraj next tuesday in the evening, asap",trd,ALD-MGS,critical,evening
"overhead line repair on near Agra overnight , an emergency a 4h tomorrow",trd,AGC-CNB,critical,night
"broken rail repair on near Prayagraj during the morning , high priority a 4h in a week",engg,ALD-MGS,high,morning
"Please a 2h route relay interlocking check on Kanpur to Allahabad, high priority",st,CNB-ALD,high,unspecified
Requesting to schedule formation strengthening day after tomorrow during the evening on near New Delhi,engg,NDLS-MTJ,medium,evening
telecom cable repair required near New Delhi-Ghaziabad stretch next tuesday overnight,st,NDLS-MTJ,medium,night
Minor telecom cable repair required near Agra Cantt section in 3 days during the evening,st,MTJ-AGC,low,evening
Kindly need track geometry check on Allahabad to Mughalsarai next monday at night,engg,ALD-MGS,medium,night
"Kindly plan optical fiber repair on Itarsi section during the morning, priority",st,BPL-ET,high,morning
"block instrument check on BPL-ET , top priority a 3h next monday",st,BPL-ET,critical,unspecified
"Requesting to need track inspection on the Mathura-Agra stretch tomorrow early morning, routine",engg,MTJ-AGC,low,early_morning
"plan signal cable inspection on ALD-MGS during the morning next wednesday, priority",st,ALD-MGS,high,morning
sleeper replacement required near Kanpur Central section early morning,engg,AGC-CNB,medium,early_morning
overhead line repair on ALD-MGS a 3h tomorrow,trd,ALD-MGS,medium,unspecified
"Requesting to need axle counter testing on New Delhi to Mathura next wednesday in the pre-dawn hours, immediately",st,NDLS-MTJ,critical,early_morning
Requesting to schedule a 4h traction motor check this weekend in the pre-dawn hours on BPL-ET,trd,BPL-ET,medium,early_morning
"Can you schedule plan level crossing signal check on MTJ-AGC before dawn, important",st,MTJ-AGC,high,early_morning
"We need to plan relay room maintenance on Allahabad to Mughalsarai during the morning this weekend, urgent",st,ALD-MGS,critical,morning
"Requesting to plan signal failure attention on the Kanpur-Prayagraj stretch in the morning next wednesday, critical",st,CNB-ALD,critical,morning
"Can you schedule schedule point machine repair in a week in the afternoon on the Prayagraj-Mughalsarai stretch, important",st,ALD-MGS,high,afternoon
"Kindly schedule point machine repair in a week during the evening on near Mathura, as soon as possible",st,MTJ-AGC,high,evening
Please schedule a 3h insulator cleaning next friday in the evening on Agra to Kanpur,trd,AGC-CNB,medium,evening
Can you schedule need power supply inspection on the Bhopal-Itarsi stretch at night,trd,BPL-ET,medium,night
"We need to schedule a 2h feeder cable maintenance next saturday on the Pandit Deen Dayal Upadhyaya Jn section, immediately",trd,ALD-MGS,critical,unspecified
Top priority overhead line repair required near Kanpur Central section next wednesday late at night,trd,AGC-CNB,critical,night
Kindly plan bridge inspection on Allahabad to Mughalsarai next tuesday,engg,ALD-MGS,medium,unspecified
"a 1h traction substation check on Agra to Kanpur tomorrow during the morning, routine",trd,AGC-CNB,low,morning
Important signal cable inspection required near the Pandit Deen Dayal Upadhyaya Jn section tomorrow during the morning,st,ALD-MGS,high,morning
